question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0001,15,E PIKE ST; E SPRING ST; 23RD AVE; 24TH AVE,2025-08-13 18:57:06.322553+00,1,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. The rezone area that includes the 'Midtown Center' and the 'Post Office' overlaps with which four streets forming its borders?,Border,,"23RD AVE; 24TH AVE; E PIKE ST, E SPRING ST",3
q_0001,24,E PIKE ST; E SPRING ST; 23RD AVE; 24TH AVE,2025-08-14 07:51:10.273647+00,2,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. The rezone area that includes the 'Midtown Center' and the 'Post Office' overlaps with which four streets forming its borders?,Border,,"23RD AVE; 24TH AVE; E PIKE ST, E SPRING ST",3
q_0001,558,E PIKE ST; 23RD AVE; E SPRING ST; 24TH AVE,2025-08-24 20:31:59.869789+00,24,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. Which four streets form the border of the rezone area that includes the 'Midtown Center' and the 'Post Office'?,Border,,"23RD AVE; 24TH AVE; E PIKE ST, E SPRING ST",3
q_0002,16,Rezone Area 6,2025-08-13 18:57:18.825753+00,1,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. With which Rezone Area does 'Rezone Area 4' share its westernmost boundary. Give the name of the area in form Rezone Area #.,Border,,Rezone Area 6,3
q_0002,25,Rezone Area 6,2025-08-14 07:52:29.383625+00,2,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. With which Rezone Area does 'Rezone Area 4' share its westernmost boundary. Give the name of the area in form Rezone Area #.,Border,,Rezone Area 6,3
q_0002,560,Rezone Area 6,2025-08-24 20:36:38.026356+00,24,,Can be answered,Single,The 23rd Ave and E Union St Rezone (Draft) classifies each area into four distinct Rezone Areas. With which Rezone Area does 'Rezone Area 4' share its westernmost boundary? Give the name of the area in form Rezone Area #.,Border,,Rezone Area 6,3
q_0004,18,South West,2025-08-13 18:57:33.920152+00,1,,Can be answered,Single,"In the 23rd Ave and S Jackson St Rezone (Draft), 'Rezone Area 8' is divided into approximately four segments by the “Max structure width of 250'” lines, excluding the central area enclosed within these lines. In which cardinal direction is the segment closest to Franz Bakery located?",Orientation,,South West,3
q_0004,52,South West,2025-08-14 18:13:51.971012+00,2,,Can be answered,Single,"In the 23rd Ave and S Jackson St Rezone (Draft), 'Rezone Area 8' is divided into approximately four segments by the “Max structure width of 250'” lines, excluding the central area enclosed within these lines. In which cardinal direction is the segment closest to Franz Bakery located?",Orientation,,South West,3
q_0004,575,South West,2025-08-24 21:31:28.811549+00,24,,Can be answered,Single,"In the 23rd Ave and S Jackson St Rezone (Draft), 'Rezone Area 8' is divided into approximately four segments by the “Max structure width of 250'” lines, excluding the central area enclosed within these lines. In which cardinal direction is the segment closest to Franz Bakery located?",Orientation,,South West,3
q_0005,19,Lowrise 1; Lowrise 3,2025-08-13 18:57:46.181087+00,1,,Can be answered,Single,"In the current zoning of 130th/145th, all areas are assigned one of the city’s ten Zoning Categories. The area labeled NC3P-55 shares border with which other Zoning Categories?",Border,,Lowrise 1; Lowrise 3,3
q_0005,53,Lowrise 1; Lowrise 3,2025-08-14 18:25:39.673372+00,2,,Can be answered,Single,"In the current zoning of 130th/145th, all areas are assigned one of the city’s ten Zoning Categories. The area labeled NC3P-55 shares border with which other Zoning Categories?",Border,,Lowrise 1; Lowrise 3,3
q_0005,577,Lowrise 1; Lowrise 3,2025-08-24 21:33:48.247086+00,24,,Can be answered,Single,"In the current zoning of 130th/145th, all areas are assigned to one of the city’s ten Zoning Categories. Which Zoning Categories shares border with the area labeled NC3P-55?",Border,,Lowrise 1; Lowrise 3,3
q_0006,20,LR1,2025-08-13 18:57:52.41319+00,1,,Can be answered,Single,"In the Combined zoning of 130th/145th, the area labeled NC2-55 shares its border with the which zoning category. Give the unit code as given on the map.",Border,,LR1,3
q_0006,188,LR1,2025-08-21 19:26:14.915317+00,2,,Can be answered,Single,"In the Combined zoning of 130th/145th, which zoning cateogry shares its border with the area labeled NC2-55. Provide the unit code exactly as shown on the map.",Border,,LR1,3
