column,A1,A2,ans,align
Q1,,2600,2800’,2
Q2,Sayona Nord,Sayona Nord Inc.,Sumitomo,2
Q3,,1,0.75 km,2
Q4,MJKFgr,093K 097,MJKFgr,2
Q5,Acidic Reagent Store,LEACH CIRCUIT,Acidic Reagent Store,2
Q6,"1,069,245; 1,069,243","1,069,243; 1,069,245","1,069,245; 1,059,243",1
Q7,10,10,10,1
Q8,"2004,IP and Magnetics",2022 Magnetics,2022 Magnetics,2
Q9,CSX Transportation Soo Line,22464,CSX Transportation Soo Line,2
Q10,4,2,2,2
Q11,12,1%,15,3
Q12,7,7,7,1
Q13,mc,KTgr,mc,2
Q14,Town of Bowden,Town of Bowden,Town of Bowden,1
Q15,INT Richard M. Colgate,Town of Silver Cliff,Richard M. Colgate,2
Q16,1250.0,1.5,1.375 km,2
Q17,1083728,1083728,1083728,1
Q18,"PEM1A,PEM1C,PSS1A",PSS1A,PEM1A; PEM1C; PSS1A,2
Q19,2,0,3,2
Q20,,4,8.5 km,2
Q21,Jasperoide 46,Jasperoide 41,Jasperoide 41,2
Q22,North East,,South West,2
Q23,other private claims,EVERGOLD CORP.,Evergold Corp.,2
Q24,Zone X,Zone X,Zone X,1
Q25,"Bombus vosnesenskii Radoszkowski,1862","Bombus, Latreille, 1802","Bombus vosnesenskii Radoszkowski, 1862",2
Q26,Mining leases,Main Zone,Main Zone,1
Q27,North East,North East,North East,1
Q28,South,South West,South West,2
Q29,Rainbow,Rainbow,Rainbow,1
Q30,"Tartan Rd, Vann Dr, Stirling Dr","Trtan, Stirling, Vann",Tartan Rd; Vann Dr; Stirling Dr,1
