question,question_text,Form
Q1,"Identify the southeastern edge of the 'Potential lid area'. What is the shortest distance between this edge and the 'Air quality monitoring station' in King County, within the City of Seattle?",Form 8
Q2,"What is the Adjacent properties (as of 2023/02/27) located immediately east of MOBLAN Lithium Project. If the adjacent property is divided by percentage, identify the company/individual with the largest percentage.",Form 8
Q3,What is the straight-line distance between 'Christmas Creek' and the nearest 'Trailbreak soil samples 2021 Au (ppb)' associated with the highest value?,Form 8
Q4,"In MAC Project, what is the geologic unit code (as shown on the map) for the area where the developed prospect is located?",Form 8
Q5,"In the process plant layout, which feature (as given on the legend) is located closest to the northeast of the Caustic Reagent Store?",Form 8
Q6,"Roger Creek claim consists of multiple claim blocks associated with unique numbers (e.g., 1,069,255). Which two claim blocks share a boundary with Claim Block 1,069,242?",Form 8
Q7,How many 'Stations' are located entirely within both the 'Deep Conductor (Intrusion?)' and the 'Phase Tensor NW–SE (Upper 500 m)' region of the CDPR-Santander concession?,Form 8
Q8,What program of which year simultaneously enclose both the HAW and HAL concession of MON Concession boundary. Give it in format (YEAR PROGRAM),Form 8
Q9,What is the name of the northeastern boundary of the 1% Annual Chance Flood Hazard area of City of Harvey?,Form 8
Q10,How many 2022 Rock Sample Locations are along the southern edge of St. Anthony property?,Form 8
Q11,"Within the Project Site Boundary along Bay Street Landing, Murray Hulbert Avenue, and Front Street in New York, what is the Base Flood Elevation (BFE) at the location marked as 'Photograph Location 27'?",Form 8
Q12,Which Prospector’s Permit polygon is located closest to the W4 dozer trench within the Murdock Mountain Phosphate Deposit area? Respond with just the polygon number.,Form 8
Q13,"Within the Perry River claim, what is the dominant geology unit code assigned to the area containing the 'MO RIP' mineral occurrence?",Form 8
Q14,Which town located within Bashaw Reef Complex is closest to 'E3 Metals Davey 4-27-33-28'?,Form 8
Q15,Identify the areas with the greatest number of Bore Holes. Who holds the largest share of mineral rights for this area?,Form 8
Q16,What is the vertical distance from the conventional drilling point located outside the Whistler Property Outline to the boundary of the Whistler Property Outline?,Form 8
Q17,"The claim area of Collective Metals contains of several claim blocks associated with a unique number (e.g., 1083660). Which claim block has least number of Cu ppm points?",Form 8
Q18,"Identify the non-jurisdictional wetlands located outside the soil disposal area, subject site, and wood chip disposal area. Which NWI feature(s) overlap with this region?",Form 8
Q19,The Lekcin property is divided into 5 sub-areas. How many 2018 Friesen rock samples were collected within the sub-areas that are intersected by the power line?,Form 8
Q20,What is the approximate straight-line distance between Current Exploration Target ‘Dome’ of PureGold Mine to 'Cochenour'?,Form 8
Q21,"The Jasperoide's_Concessions Concessions are divided into multiple concession blocks with unique IDs (e.g., Jasperoide 25). Which concession block is intersected by the boundary of the CC Yanque community?",Form 8
Q22,In which direction is University Park located in relation to the Proposed Wet Pond within the MWRD City of Harvey BRIC Funding Infrastructure Project Area?,Form 8
Q23,What is the Owner Name of the property located closest to the Cabin Lake property?,Form 8
Q24,The backwash tank in the City Creek Water Treatment Plant project area lies within which flood hazard area according to the project's mapping?,Form 8
Q25,Which 'XERCES_Bumble Bee Watch' observation point is located closest to the 'Moderate' wildfire risk area at Prescott Park?,Form 8
Q26,Which deposit(s)/exploration area(s) of Marathon PGM Property has the highest NSR Royalty?,Form 8
Q27,What direction is Needles Park located in relation to the Proposed Detention Basin of the City of Harvey Stormwater Management Project?,Form 8
Q28,What is the position of the drilling collars completed by 'UKHM' compared to the drilling collars by 'Spectrum (2003)' at AurMac Project?,Form 8
Q29,Which Field/Pool/Unit occupies the most area within the Rainbow Lake Property boundary?,Form 8
Q30,Identify the Freshwater Emergent Wetland area of Lumberton Loops Project Area. Which road(s) enclose this area?,Form 8
