question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0117,322,50m,2025-08-22 04:11:33.442771+00,9,yes,Can be answered,Multi,"The Fisherman's Cove Project is divided into two areas: J67 and J146, while the H Resort Project area is divided into three regions: V576, V577, and V10116. What is the approximate horizontal (east-west) distance between the westernmost 'Native Plants' point in V576 and the easternmost 'Endemic Plants' point in J146.",Distance,,55 m,0
q_0117,702,300m,2025-08-25 15:03:03.558581+00,11,yes,Can be answered,Multi,"The Fisherman’s Cove Project is divided into two areas: J67 and J146, while the H Resort Project area is divided into three regions: V576, V577, and V10116. What is the approximate horizontal (east–west) distance between the westernmost 'Native Plants' point in V576 and the easternmost 'Endemic Plants' point in J146.",Distance,,55 m,0
q_0117,1057,150m,2025-08-28 03:50:06.297307+00,10,yes,Can be answered,Multi,"The Fisherman's Cove Project is divided into two areas: J67 and J146, while the H Resort Project area is divided into three regions: V576, V577, and V10116. What is the approximate horizontal (east-west) distance between the westernmost 'Native Plants' point in V576 and the easternmost 'Endemic Plants' point in J146.",Distance,,55 m,0
q_0169,337,Yes,2025-08-22 04:41:01.394111+00,9,yes,Can be answered,Multi,"Within the Project Area (Sub Lots) of Medford City, which districts or areas (e.g., Southeast Medford) does the Bear Creek Greenway cross within the Medford City limits?",Intersect,,Liberty Park; Geneva Minnesota Historic District; South Oakdale Historic District,0
q_0169,511,"Liberty Park, Geneva-Minnesota Historic District",2025-08-24 19:20:52.712205+00,122,yes,Can be answered,Multi,"Within the Project Area (Sub Lots) of Medford City, which districts or areas (e.g., Southeast Medford) does the Bear Creek Greenway cross within the Medford City limits?",Intersect,,Liberty Park; Geneva Minnesota Historic District; South Oakdale Historic District,0
q_0169,1070,"Geneva Minnesota Historic District, Liberty Park",2025-08-28 04:07:08.632489+00,10,yes,Can be answered,Multi,"Within the Project Area (Sub Lots) of Medford City, which districts or areas (e.g., Southeast Medford) does the Bear Creek Greenway cross within the Medford City limits?",Intersect,,Liberty Park; Geneva Minnesota Historic District; South Oakdale Historic District,0
q_1000,119,"B. Land, moderate to low sediment source",2025-08-21 17:30:46.182284+00,22,yes,Can be answered,Multi,"Surrounding the Chaco Culture National Historical Park, which geologic unit intersects the Colorado Plateau?",Intersect,,Cliff House Sandstone,0
q_1000,347,,2025-08-22 05:21:58.14885+00,12,no,Map doesn't contain information to answer the question,Multi,"Surrounding the Chaco Culture National Historical Park, which geologic unit intersects the Colorado Plateau?",Intersect,Not sure what the question is asking about,Cliff House Sandstone,0
q_1000,895,,2025-08-27 00:48:09.537239+00,13,,Map doesn't contain information to answer the question,Multi,"Surrounding the Chaco Culture National Historical Park, which geologic unit intersects the Colorado Plateau?",Intersect,where is Chaco Culture National Historical Park?,Cliff House Sandstone,0
q_1009,128,North West,2025-08-21 17:49:44.437154+00,22,yes,Can be answered,Multi,"In Cape Town, near ELSIESKRAAL RIVER VALLEY, what is the orientation of the Residential Development Only location in North Residential Precinct relative to the westernmost point of Managed Pedestrian Access to Water's Edge & Canal in Waterfront Precinct?",Orientation,,North East,0
