question_ref,annotator_response,std,win_std,expected_value
q_0106,38.0,1.632993161855452,1.632993161855452,40.0
q_0106,40.0,1.632993161855452,1.632993161855452,40.0
q_0106,42.0,1.632993161855452,1.632993161855452,40.0
q_0106,40.0,1.632993161855452,1.632993161855452,40.0
q_0151,18.0,2.0615528128088303,2.0615528128088303,18.0
q_0151,15.0,2.0615528128088303,2.0615528128088303,18.0
q_0151,20.0,2.0615528128088303,2.0615528128088303,18.0
q_0151,18.0,2.0615528128088303,2.0615528128088303,18.0
q_0157,1600.0,400.0,400.0,2400.0
q_0157,2400.0,400.0,400.0,2400.0
q_0157,2400.0,400.0,400.0,2400.0
q_0157,2400.0,400.0,400.0,2400.0
q_0171,6000.0,1300.0,1300.0,6600.0
q_0171,9000.0,1300.0,1300.0,6600.0
q_0171,7000.0,1300.0,1300.0,6600.0
q_0171,6600.0,1300.0,1300.0,6600.0
q_0173,0.5,0.06,0.06,0.62
q_0173,0.5,0.06,0.06,0.62
q_0173,0.5,0.06,0.06,0.62
q_0173,0.62,0.06,0.06,0.62
q_0190,6000.0,866.0254037844386,866.0254037844386,7500.0
q_0190,6000.0,866.0254037844386,866.0254037844386,7500.0
q_0190,7500.0,866.0254037844386,866.0254037844386,7500.0
q_1007,11.0,2.0207259421636903,2.0207259421636903,12.5
q_1007,15.0,2.0207259421636903,2.0207259421636903,12.5
q_1007,12.5,2.0207259421636903,2.0207259421636903,12.5
q_1018,22.0,0.25,0.25,22.5
q_1018,22.5,0.25,0.25,22.5
q_1018,22.5,0.25,0.25,22.5
q_1018,22.5,0.25,0.25,22.5
q_1026,2400.0,1219.2894105447922,1219.2894105447922,2900.0
q_1026,2800.0,1219.2894105447922,1219.2894105447922,2900.0
q_1026,300.0,1219.2894105447922,1219.2894105447922,2900.0
q_1026,2900.0,1219.2894105447922,1219.2894105447922,2900.0
q_1030,2.0,0.050000000000000044,0.050000000000000044,1.9
q_1030,2.0,0.050000000000000044,0.050000000000000044,1.9
q_1030,2.0,0.050000000000000044,0.050000000000000044,1.9
q_1030,1.9,0.050000000000000044,0.050000000000000044,1.9
q_1031,60.0,4.7871355387816905,4.7871355387816905,55.0
q_1031,50.0,4.7871355387816905,4.7871355387816905,55.0
q_1031,50.0,4.7871355387816905,4.7871355387816905,55.0
q_1031,55.0,4.7871355387816905,4.7871355387816905,55.0
q_1047,15.0,0.5,0.5,15.0
q_1047,16.0,0.5,0.5,15.0
q_1047,15.0,0.5,0.5,15.0
q_1047,15.0,0.5,0.5,15.0
q_1059,6230.0,850.4263636553138,850.4263636553138,6500.0
q_1059,5000.0,850.4263636553138,850.4263636553138,6500.0
q_1059,7000.0,850.4263636553138,850.4263636553138,6500.0
q_1059,6500.0,850.4263636553138,850.4263636553138,6500.0
q_1062,120.0,12.165525060596439,12.165525060596439,122.0
q_1062,100.0,12.165525060596439,12.165525060596439,122.0
q_1062,122.0,12.165525060596439,12.165525060596439,122.0
q_1072,575.0,52.04164998665332,52.04164998665332,675.0
q_1072,600.0,52.04164998665332,52.04164998665332,675.0
q_1072,675.0,52.04164998665332,52.04164998665332,675.0
q_1105,400.0,25.0,25.0,450.0
q_1105,400.0,25.0,25.0,450.0
q_1105,400.0,25.0,25.0,450.0
q_1105,450.0,25.0,25.0,450.0
q_1150,46.0,4.725815626252609,4.725815626252609,40.0
q_1150,50.0,4.725815626252609,4.725815626252609,40.0
q_1150,50.0,4.725815626252609,4.725815626252609,40.0
q_1150,40.0,4.725815626252609,4.725815626252609,40.0
q_1160,2.5,0.6291528696058958,0.6291528696058958,3.0
q_1160,4.0,0.6291528696058958,0.6291528696058958,3.0
q_1160,3.0,0.6291528696058958,0.6291528696058958,3.0
q_1160,3.0,0.6291528696058958,0.6291528696058958,3.0
q_2013,0.75,1.14564392373896,1.14564392373896,1.5
